,Crop,N,P,K,pH
0,rice,80,40,40,5.5
1,maize,80,40,20,5.5
2,chickpea,40,60,80,5.5
3,kidneybeans,20,60,20,5.5
4,pigeonpeas,20,60,20,5.5
5,mothbeans,20,40,20,5.5
6,mungbean,20,40,20,5.5
7,blackgram,40,60,20,5.0
8,lentil,20,60,20,5.5
9,pomegranate,20,10,40,5.5
10,banana,100,75,50,6.5
11,mango,20,20,30,5.0
12,grapes,20,125,200,4.0
13,watermelon,100,10,50,5.5
14,muskmelon,100,10,50,5.5
15,apple,20,125,200,6.5
16,orange,20,10,10,4.0
17,papaya,50,50,50,6.0
18,coconut,20,10,30,5.0
19,cotton,120,40,20,5.5
20,jute,80,40,40,5.5
21,coffee,100,20,30,5.5
